clock-1      | [Clock] 86:snake_length=3 eaten_apples=0 loss=-0.206 policy_loss=-0.097 entropy_mean=1.090 grad_norm=0.709 frames=5  sum_reward=4
clock-1      | [Clock] 87:snake_length=3 eaten_apples=0 loss=-0.121 policy_loss=-0.012 entropy_mean=1.088 grad_norm=0.334 frames=4  sum_reward=3
clock-1      | [Clock] 88:snake_length=3 eaten_apples=0 loss=-0.120 policy_loss=-0.011 entropy_mean=1.088 grad_norm=0.391 frames=18  sum_reward=17
clock-1      | [Clock] 89:snake_length=3 eaten_apples=0 loss=0.019 policy_loss=0.127 entropy_mean=1.086 grad_norm=0.890 frames=5  sum_reward=4
clock-1      | [Clock] 90:snake_length=3 eaten_apples=0 loss=-0.149 policy_loss=-0.040 entropy_mean=1.087 grad_norm=0.204 frames=89  sum_reward=88
clock-1      | [Clock] 91:snake_length=3 eaten_apples=0 loss=-0.179 policy_loss=-0.071 entropy_mean=1.086 grad_norm=0.711 frames=7  sum_reward=6
clock-1      | [Clock] 92:snake_length=4 eaten_apples=1 loss=-0.153 policy_loss=-0.044 entropy_mean=1.087 grad_norm=0.365 frames=34  sum_reward=34
clock-1      | [Clock] 93:snake_length=3 eaten_apples=0 loss=-0.206 policy_loss=-0.097 entropy_mean=1.088 grad_norm=0.660 frames=16  sum_reward=15
clock-1      | [Clock] 94:snake_length=3 eaten_apples=0 loss=-0.108 policy_loss=0.001 entropy_mean=1.087 grad_norm=0.630 frames=6  sum_reward=5
clock-1      | [Clock] 95:snake_length=4 eaten_apples=1 loss=-0.054 policy_loss=0.055 entropy_mean=1.086 grad_norm=0.457 frames=31  sum_reward=31
clock-1      | [Clock] 96:snake_length=3 eaten_apples=0 loss=-0.175 policy_loss=-0.066 entropy_mean=1.084 grad_norm=0.821 frames=4  sum_reward=3
clock-1      | [Clock] 97:snake_length=3 eaten_apples=0 loss=-0.080 policy_loss=0.028 entropy_mean=1.085 grad_norm=0.394 frames=21  sum_reward=20
clock-1      | [Clock] 98:snake_length=3 eaten_apples=0 loss=-0.071 policy_loss=0.037 entropy_mean=1.085 grad_norm=0.434 frames=37  sum_reward=36
clock-1      | [Clock] 99:snake_length=3 eaten_apples=0 loss=-0.124 policy_loss=-0.015 entropy_mean=1.084 grad_norm=0.782 frames=5  sum_reward=4
clock-1      | [Clock] 100:snake_length=3 eaten_apples=0 loss=-0.163 policy_loss=-0.054 entropy_mean=1.085 grad_norm=0.343 frames=32  sum_reward=31
clock-1      | [Clock] 101:snake_length=3 eaten_apples=0 loss=-0.111 policy_loss=-0.003 entropy_mean=1.084 grad_norm=0.083 frames=105  sum_reward=104
clock-1      | [Clock] 102:snake_length=3 eaten_apples=0 loss=-0.129 policy_loss=-0.021 entropy_mean=1.084 grad_norm=0.150 frames=69  sum_reward=68
clock-1      | [Clock] 103:snake_length=3 eaten_apples=0 loss=-0.130 policy_loss=-0.021 entropy_mean=1.083 grad_norm=0.372 frames=3  sum_reward=2
clock-1      | [Clock] 104:snake_length=3 eaten_apples=0 loss=-0.069 policy_loss=0.040 entropy_mean=1.084 grad_norm=0.310 frames=24  sum_reward=23
clock-1      | [Clock] 105:snake_length=4 eaten_apples=1 loss=-0.086 policy_loss=0.022 entropy_mean=1.083 grad_norm=0.239 frames=37  sum_reward=37
clock-1      | [Clock] 106:snake_length=3 eaten_apples=0 loss=-0.107 policy_loss=0.001 entropy_mean=1.083 grad_norm=0.282 frames=23  sum_reward=22
clock-1      | [Clock] 107:snake_length=3 eaten_apples=0 loss=-0.086 policy_loss=0.022 entropy_mean=1.083 grad_norm=0.226 frames=19  sum_reward=18
clock-1      | [Clock] 108:snake_length=4 eaten_apples=1 loss=-0.146 policy_loss=-0.037 entropy_mean=1.083 grad_norm=0.381 frames=38  sum_reward=38
clock-1      | [Clock] 109:snake_length=4 eaten_apples=1 loss=-0.099 policy_loss=0.009 entropy_mean=1.080 grad_norm=0.648 frames=5  sum_reward=5
clock-1      | [Clock] 110:snake_length=4 eaten_apples=1 loss=-0.091 policy_loss=0.017 entropy_mean=1.083 grad_norm=0.305 frames=41  sum_reward=41
clock-1      | [Clock] 111:snake_length=3 eaten_apples=0 loss=-0.030 policy_loss=0.078 entropy_mean=1.085 grad_norm=0.493 frames=12  sum_reward=11
clock-1      | [Clock] 112:snake_length=3 eaten_apples=0 loss=-0.105 policy_loss=0.003 entropy_mean=1.084 grad_norm=0.216 frames=22  sum_reward=21
clock-1      | [Clock] 113:snake_length=3 eaten_apples=0 loss=-0.145 policy_loss=-0.037 entropy_mean=1.083 grad_norm=0.542 frames=13  sum_reward=12
clock-1      | [Clock] 114:snake_length=4 eaten_apples=1 loss=-0.126 policy_loss=-0.017 entropy_mean=1.084 grad_norm=0.314 frames=33  sum_reward=33
clock-1      | [Clock] 115:snake_length=4 eaten_apples=1 loss=-0.039 policy_loss=0.070 entropy_mean=1.084 grad_norm=1.231 frames=10  sum_reward=10
clock-1      | [Clock] 116:snake_length=4 eaten_apples=1 loss=-0.168 policy_loss=-0.060 entropy_mean=1.084 grad_norm=0.277 frames=37  sum_reward=37
clock-1      | [Clock] 117:snake_length=3 eaten_apples=0 loss=-0.100 policy_loss=0.009 entropy_mean=1.084 grad_norm=0.263 frames=3  sum_reward=2
clock-1      | [Clock] 118:snake_length=4 eaten_apples=1 loss=-0.114 policy_loss=-0.006 entropy_mean=1.084 grad_norm=0.316 frames=15  sum_reward=15
clock-1      | [Clock] 119:snake_length=3 eaten_apples=0 loss=-0.131 policy_loss=-0.022 entropy_mean=1.085 grad_norm=0.205 frames=54  sum_reward=53
clock-1      | [Clock] 120:snake_length=4 eaten_apples=1 loss=-0.138 policy_loss=-0.030 entropy_mean=1.086 grad_norm=0.722 frames=17  sum_reward=17
clock-1      | [Clock] 121:snake_length=4 eaten_apples=1 loss=-0.176 policy_loss=-0.067 entropy_mean=1.084 grad_norm=0.376 frames=50  sum_reward=50
clock-1      | [Clock] 122:snake_length=4 eaten_apples=1 loss=-0.039 policy_loss=0.069 entropy_mean=1.084 grad_norm=0.660 frames=13  sum_reward=13
clock-1      | [Clock] 123:snake_length=3 eaten_apples=0 loss=-0.122 policy_loss=-0.014 entropy_mean=1.085 grad_norm=0.362 frames=18  sum_reward=17
clock-1      | [Clock] 124:snake_length=3 eaten_apples=0 loss=-0.225 policy_loss=-0.116 entropy_mean=1.083 grad_norm=0.692 frames=14  sum_reward=13
clock-1      | [Clock] 125:snake_length=3 eaten_apples=0 loss=-0.179 policy_loss=-0.071 entropy_mean=1.083 grad_norm=0.470 frames=11  sum_reward=10
clock-1      | [Clock] 126:snake_length=4 eaten_apples=1 loss=-0.106 policy_loss=0.002 entropy_mean=1.084 grad_norm=0.309 frames=28  sum_reward=28
clock-1      | [Clock] 127:snake_length=4 eaten_apples=1 loss=-0.010 policy_loss=0.099 entropy_mean=1.082 grad_norm=0.590 frames=11  sum_reward=11
clock-1      | [Clock] 128:snake_length=3 eaten_apples=0 loss=-0.119 policy_loss=-0.011 entropy_mean=1.081 grad_norm=0.283 frames=3  sum_reward=2
clock-1      | [Clock] 129:snake_length=3 eaten_apples=0 loss=-0.139 policy_loss=-0.031 entropy_mean=1.080 grad_norm=0.309 frames=3  sum_reward=2
clock-1      | [Clock] 130:snake_length=4 eaten_apples=1 loss=-0.132 policy_loss=-0.024 entropy_mean=1.082 grad_norm=0.332 frames=33  sum_reward=33
clock-1      | [Clock] 131:snake_length=3 eaten_apples=0 loss=-0.166 policy_loss=-0.058 entropy_mean=1.080 grad_norm=0.321 frames=13  sum_reward=12
clock-1      | [Clock] 132:snake_length=3 eaten_apples=0 loss=-0.106 policy_loss=0.002 entropy_mean=1.083 grad_norm=0.409 frames=28  sum_reward=27
clock-1      | [Clock] 133:snake_length=3 eaten_apples=0 loss=-0.165 policy_loss=-0.057 entropy_mean=1.083 grad_norm=0.327 frames=32  sum_reward=31
clock-1      | [Clock] 134:snake_length=3 eaten_apples=0 loss=-0.082 policy_loss=0.026 entropy_mean=1.081 grad_norm=0.315 frames=28  sum_reward=27
clock-1      | [Clock] 135:snake_length=3 eaten_apples=0 loss=-0.074 policy_loss=0.034 entropy_mean=1.080 grad_norm=0.422 frames=18  sum_reward=17
clock-1      | [Clock] 136:snake_length=3 eaten_apples=0 loss=-0.165 policy_loss=-0.057 entropy_mean=1.081 grad_norm=0.296 frames=34  sum_reward=33
clock-1      | [Clock] 137:snake_length=4 eaten_apples=1 loss=-0.081 policy_loss=0.027 entropy_mean=1.082 grad_norm=0.238 frames=17  sum_reward=17
clock-1      | [Clock] 138:snake_length=4 eaten_apples=1 loss=-0.111 policy_loss=-0.003 entropy_mean=1.081 grad_norm=0.183 frames=56  sum_reward=56
clock-1      | [Clock] 139:snake_length=3 eaten_apples=0 loss=-0.131 policy_loss=-0.023 entropy_mean=1.080 grad_norm=0.236 frames=88  sum_reward=87
clock-1      | [Clock] 140:snake_length=3 eaten_apples=0 loss=-0.101 policy_loss=0.007 entropy_mean=1.080 grad_norm=0.481 frames=11  sum_reward=10
clock-1      | [Clock] 141:snake_length=3 eaten_apples=0 loss=-0.110 policy_loss=-0.002 entropy_mean=1.080 grad_norm=0.158 frames=36  sum_reward=35
clock-1      | [Clock] 142:snake_length=3 eaten_apples=0 loss=-0.048 policy_loss=0.060 entropy_mean=1.080 grad_norm=0.382 frames=50  sum_reward=49
clock-1      | [Clock] 143:snake_length=3 eaten_apples=0 loss=-0.229 policy_loss=-0.121 entropy_mean=1.078 grad_norm=0.551 frames=23  sum_reward=22
clock-1      | [Clock] 144:snake_length=3 eaten_apples=0 loss=-0.128 policy_loss=-0.020 entropy_mean=1.080 grad_norm=0.662 frames=11  sum_reward=10
clock-1      | [Clock] 145:snake_length=4 eaten_apples=1 loss=-0.078 policy_loss=0.030 entropy_mean=1.079 grad_norm=0.273 frames=69  sum_reward=69
clock-1      | [Clock] 146:snake_length=4 eaten_apples=1 loss=-0.126 policy_loss=-0.018 entropy_mean=1.079 grad_norm=0.315 frames=58  sum_reward=58
clock-1      | [Clock] 147:snake_length=3 eaten_apples=0 loss=-0.124 policy_loss=-0.016 entropy_mean=1.079 grad_norm=0.173 frames=73  sum_reward=72
clock-1      | [Clock] 148:snake_length=4 eaten_apples=1 loss=-0.104 policy_loss=0.004 entropy_mean=1.080 grad_norm=0.239 frames=35  sum_reward=35
clock-1      | [Clock] 149:snake_length=4 eaten_apples=1 loss=-0.098 policy_loss=0.010 entropy_mean=1.079 grad_norm=0.256 frames=46  sum_reward=46
clock-1      | [Clock] 150:snake_length=4 eaten_apples=1 loss=-0.132 policy_loss=-0.024 entropy_mean=1.079 grad_norm=0.189 frames=64  sum_reward=64
clock-1      | [Clock] 151:snake_length=3 eaten_apples=0 loss=-0.124 policy_loss=-0.016 entropy_mean=1.077 grad_norm=0.214 frames=21  sum_reward=20
clock-1      | [Clock] 152:snake_length=4 eaten_apples=1 loss=0.018 policy_loss=0.125 entropy_mean=1.078 grad_norm=0.704 frames=12  sum_reward=12
clock-1      | [Clock] 153:snake_length=4 eaten_apples=1 loss=-0.104 policy_loss=0.004 entropy_mean=1.077 grad_norm=0.372 frames=3  sum_reward=3
