clock-1      | [Clock] 66:snake_length=3 eaten_apples=0 loss=-0.140 policy_loss=-0.033 entropy_mean=1.072 grad_norm=0.214 frames=82  sum_reward=81
clock-1      | [Clock] 67:snake_length=3 eaten_apples=0 loss=-0.077 policy_loss=0.030 entropy_mean=1.072 grad_norm=0.150 frames=235  sum_reward=234
clock-1      | [Clock] 68:snake_length=3 eaten_apples=0 loss=-0.108 policy_loss=-0.000 entropy_mean=1.072 grad_norm=0.595 frames=27  sum_reward=26
clock-1      | [Clock] 69:snake_length=3 eaten_apples=0 loss=-0.112 policy_loss=-0.004 entropy_mean=1.072 grad_norm=0.101 frames=121  sum_reward=120
clock-1      | [Clock] 70:snake_length=3 eaten_apples=0 loss=-0.084 policy_loss=0.023 entropy_mean=1.072 grad_norm=0.096 frames=500  sum_reward=499
clock-1      | [Clock] 71:snake_length=4 eaten_apples=1 loss=-0.049 policy_loss=0.058 entropy_mean=1.072 grad_norm=0.232 frames=46  sum_reward=46
clock-1      | [Clock] 72:snake_length=3 eaten_apples=0 loss=-0.156 policy_loss=-0.048 entropy_mean=1.072 grad_norm=0.179 frames=152  sum_reward=151
clock-1      | [Clock] 73:snake_length=3 eaten_apples=0 loss=-0.131 policy_loss=-0.024 entropy_mean=1.072 grad_norm=0.095 frames=280  sum_reward=279
clock-1      | [Clock] 74:snake_length=3 eaten_apples=0 loss=-0.111 policy_loss=-0.004 entropy_mean=1.072 grad_norm=0.070 frames=359  sum_reward=358
clock-1      | [Clock] 75:snake_length=3 eaten_apples=0 loss=-0.175 policy_loss=-0.068 entropy_mean=1.072 grad_norm=0.334 frames=59  sum_reward=58
clock-1      | [Clock] 76:snake_length=3 eaten_apples=0 loss=-0.103 policy_loss=0.004 entropy_mean=1.072 grad_norm=0.128 frames=199  sum_reward=198
clock-1      | [Clock] 77:snake_length=4 eaten_apples=1 loss=-0.090 policy_loss=0.017 entropy_mean=1.072 grad_norm=0.127 frames=338  sum_reward=338
clock-1      | [Clock] 78:snake_length=4 eaten_apples=1 loss=-0.070 policy_loss=0.037 entropy_mean=1.072 grad_norm=0.168 frames=74  sum_reward=74
clock-1      | [Clock] 79:snake_length=4 eaten_apples=1 loss=-0.067 policy_loss=0.041 entropy_mean=1.073 grad_norm=0.194 frames=98  sum_reward=98
clock-1      | [Clock] 80:snake_length=3 eaten_apples=0 loss=-0.142 policy_loss=-0.035 entropy_mean=1.072 grad_norm=0.129 frames=202  sum_reward=201
clock-1      | [Clock] 81:snake_length=3 eaten_apples=0 loss=-0.060 policy_loss=0.047 entropy_mean=1.072 grad_norm=0.199 frames=85  sum_reward=84
clock-1      | [Clock] 82:snake_length=3 eaten_apples=0 loss=-0.106 policy_loss=0.002 entropy_mean=1.072 grad_norm=0.036 frames=309  sum_reward=308
clock-1      | [Clock] 83:snake_length=4 eaten_apples=1 loss=-0.093 policy_loss=0.015 entropy_mean=1.073 grad_norm=0.092 frames=173  sum_reward=173
clock-1      | [Clock] 84:snake_length=3 eaten_apples=0 loss=-0.069 policy_loss=0.039 entropy_mean=1.073 grad_norm=0.264 frames=75  sum_reward=74
clock-1      | [Clock] 85:snake_length=3 eaten_apples=0 loss=-0.070 policy_loss=0.037 entropy_mean=1.073 grad_norm=0.163 frames=500  sum_reward=499
clock-1      | [Clock] 86:snake_length=3 eaten_apples=0 loss=-0.112 policy_loss=-0.005 entropy_mean=1.074 grad_norm=0.082 frames=284  sum_reward=283
clock-1      | [Clock] 87:snake_length=3 eaten_apples=0 loss=-0.128 policy_loss=-0.020 entropy_mean=1.074 grad_norm=0.222 frames=24  sum_reward=23
clock-1      | [Clock] 88:snake_length=4 eaten_apples=1 loss=-0.007 policy_loss=0.100 entropy_mean=1.074 grad_norm=0.720 frames=5  sum_reward=5
clock-1      | [Clock] 89:snake_length=3 eaten_apples=0 loss=-0.131 policy_loss=-0.023 entropy_mean=1.074 grad_norm=0.093 frames=188  sum_reward=187
clock-1      | [Clock] 90:snake_length=3 eaten_apples=0 loss=-0.169 policy_loss=-0.061 entropy_mean=1.075 grad_norm=0.217 frames=67  sum_reward=66
clock-1      | [Clock] 91:snake_length=3 eaten_apples=0 loss=-0.108 policy_loss=-0.000 entropy_mean=1.075 grad_norm=0.034 frames=436  sum_reward=435
clock-1      | [Clock] 92:snake_length=4 eaten_apples=1 loss=-0.100 policy_loss=0.007 entropy_mean=1.075 grad_norm=0.161 frames=46  sum_reward=46
clock-1      | [Clock] 93:snake_length=4 eaten_apples=1 loss=-0.346 policy_loss=-0.239 entropy_mean=1.075 grad_norm=0.801 frames=8  sum_reward=8
clock-1      | [Clock] 94:snake_length=3 eaten_apples=0 loss=-0.136 policy_loss=-0.028 entropy_mean=1.075 grad_norm=0.105 frames=121  sum_reward=120
clock-1      | [Clock] 95:snake_length=4 eaten_apples=1 loss=-0.081 policy_loss=0.027 entropy_mean=1.074 grad_norm=0.460 frames=14  sum_reward=14
clock-1      | [Clock] 96:snake_length=3 eaten_apples=0 loss=-0.117 policy_loss=-0.009 entropy_mean=1.075 grad_norm=0.045 frames=217  sum_reward=216
clock-1      | [Clock] 97:snake_length=3 eaten_apples=0 loss=-0.047 policy_loss=0.060 entropy_mean=1.074 grad_norm=0.232 frames=53  sum_reward=52
clock-1      | [Clock] 98:snake_length=3 eaten_apples=0 loss=-0.105 policy_loss=0.002 entropy_mean=1.074 grad_norm=0.111 frames=241  sum_reward=240
clock-1      | [Clock] 99:snake_length=3 eaten_apples=0 loss=-0.097 policy_loss=0.010 entropy_mean=1.074 grad_norm=0.090 frames=242  sum_reward=241
clock-1      | [Clock] 100:snake_length=4 eaten_apples=1 loss=-0.141 policy_loss=-0.033 entropy_mean=1.075 grad_norm=0.254 frames=14  sum_reward=14
clock-1      | [Clock] 101:snake_length=3 eaten_apples=0 loss=-0.145 policy_loss=-0.038 entropy_mean=1.074 grad_norm=0.171 frames=113  sum_reward=112
clock-1      | [Clock] 102:snake_length=3 eaten_apples=0 loss=-0.149 policy_loss=-0.042 entropy_mean=1.074 grad_norm=0.133 frames=217  sum_reward=216
clock-1      | [Clock] 103:snake_length=3 eaten_apples=0 loss=-0.068 policy_loss=0.040 entropy_mean=1.074 grad_norm=0.172 frames=53  sum_reward=52
clock-1      | [Clock] 104:snake_length=3 eaten_apples=0 loss=-0.113 policy_loss=-0.006 entropy_mean=1.074 grad_norm=0.067 frames=500  sum_reward=499
clock-1      | [Clock] 105:snake_length=3 eaten_apples=0 loss=-0.117 policy_loss=-0.010 entropy_mean=1.074 grad_norm=0.182 frames=156  sum_reward=155
clock-1      | [Clock] 106:snake_length=3 eaten_apples=0 loss=0.051 policy_loss=0.158 entropy_mean=1.074 grad_norm=0.801 frames=9  sum_reward=8
clock-1      | [Clock] 107:snake_length=4 eaten_apples=1 loss=-0.133 policy_loss=-0.026 entropy_mean=1.074 grad_norm=0.097 frames=148  sum_reward=148
clock-1      | [Clock] 108:snake_length=4 eaten_apples=1 loss=0.003 policy_loss=0.110 entropy_mean=1.075 grad_norm=0.619 frames=14  sum_reward=14
clock-1      | [Clock] 109:snake_length=3 eaten_apples=0 loss=-0.085 policy_loss=0.022 entropy_mean=1.075 grad_norm=0.094 frames=188  sum_reward=187
clock-1      | [Clock] 110:snake_length=3 eaten_apples=0 loss=-0.047 policy_loss=0.061 entropy_mean=1.075 grad_norm=0.239 frames=59  sum_reward=58
clock-1      | [Clock] 111:snake_length=4 eaten_apples=1 loss=-0.149 policy_loss=-0.042 entropy_mean=1.076 grad_norm=0.213 frames=25  sum_reward=25
clock-1      | [Clock] 112:snake_length=3 eaten_apples=0 loss=-0.127 policy_loss=-0.019 entropy_mean=1.076 grad_norm=0.160 frames=339  sum_reward=338
clock-1      | [Clock] 113:snake_length=3 eaten_apples=0 loss=-0.092 policy_loss=0.015 entropy_mean=1.076 grad_norm=0.192 frames=47  sum_reward=46
clock-1      | [Clock] 114:snake_length=3 eaten_apples=0 loss=-0.060 policy_loss=0.048 entropy_mean=1.077 grad_norm=0.215 frames=219  sum_reward=218
